Disease name	List of shared genes
"Glaucoma, Primary Open Angle"	IFIH1;ANKLE1;BRSK1;SEC14L1;KIAA0319;EXTL2P1;DKKL1;STXBP6;WDR7;CDKAL1;CORO2B;IRF8;PTPN22;CDKN2B-AS1;HLA-F;GHR;SVEP1;LOC133789;RTEL1;FUT8;LMO4;RGS6;LRP2;CDKN2B;
Purpura	UBE2Q2;PADI6;ARHGEF3;ADAM19;EFR3B;LHCGR;PARP1;SHC4;MACROD2;MEX3B;CYP1A1;HSD17B6;DUSP10;MST1;MECOM;SCN10A;SLC24A2;TRPM6;LINC00340;RPS6KB1;ZNRD1;FGFR1OP;UPP2;BCL11A;ATE1;
Spinal Stenosis	AMIGO2;GCK;GRM5;PLXNA1;HNF1A;API5;HMGCR;WTAP;IL2RA;FSHR;GP1BA;TCHHL1;AFAP1L2;GIT1;NT5C1A;GRAMD1B;CDK4;UNC5C;PLA2G12A;GALNT3;TBX3;SF3B4;DYM;GPLD1;PSMA7P;TIMP2;HMGA2;ADAMTS17;TAL2;TRHDE;MANBA;AAK1;PRKG1;TP63;FGF10;DYSF;LRRC32;
Liver Diseases	CPAMD8;TNFSF11;RARB;SLC24A4;HIP1;NEIL3;SH2D6;PTPN22;SLC44A4;SPATS2L;HLA-B;EFEMP1;PSMD6;WTAP;ACE;MMRN1;ESR1;ZBTB17;VAV2;EFCAB4B;KCNJ2;POU2F1;C8orf84;
"Child Development Disorders, Pervasive"	STX6;CADPS2;LPHN1;CRTC3;FRMD6;PSMG1;PRKCE;PSMB8;GRM8;EXOC3;RNF213;EML6;RAB11B;FAM5C;GLG1;DPEP3;KIF16B;ZNF433;CDK6;C15orf32;SACS;CACNB2;CDH6;CETP;BICD1;KDM4C;SUSD1;PLCL1;C2orf43;GFOD2;DOCK8;
Polyarteritis Nodosa	HLA-DRB1;PRKAR2B;CETP;RBMS1;CHIC2;C6orf10;KIAA1109;NFKB1;MANBA;MMRN1;C5orf36;NCAM1;BTNL2;USP40;NCF4;SLC27A1;C16orf78;MICB;HCG9;
Iron Metabolism Disorders	HFE;SLC17A1;HIST1H2BJ;LRRC16A;BTN1A1;TRIM38;SCGN;GRAMD1B;SLC17A3;HS3ST3B1;FGF5;SLC17A4;CCR6;ARHGAP26;ELMO1;EIF6;NLRP11;ARID5B;SLC22A11;CGNL1;PLA2G12A;HLA-A;APBB1IP;PALB2;HELQ;FGF3;TSEN15;GRB14;
Ovarian Diseases	BRD1;GMDS;DSG1;TMPRSS6;SP7;LMO4;KLHL13;QSOX2;CEP152;PTPN22;TACC3;CRTC3;BUD13;CRTC1;SUSD1;ARHGAP22;ABCC4;FAM47E;PVR;FAT4;SHROOM3;TNXB;CETP;
Ascites	LHFPL3;RAD51B;CORO2B;PVT1;KIF11;ZFAND3;ATP2B1;DIP2C;HLA-B;TRIM24;PCSK9;ZDHHC19;TNPO3;STMN2;SCN10A;HHIP;
Intervertebral Disc Displacement	GCK;CD247;ASB18;LRRC32;FAM49B;TNFSF11;C6orf97;TXNDC6;SF3B4;FOXO1;ZFP64;QSOX2;FER1L4;CRYGC;KDM4C;PTPRG;CDK5RAP1;RBMS3;PKNOX1;HLA-DRA;GRB14;HNF1A;AGTR2;SIK3;
"Genital Neoplasms, Male"	RHPN2;RAPGEF5;EPHA10;FOXO3;PGS1;NOS1AP;LOC643308;STARD9;ZNF746;ADK;BCL11A;ITPR2;VCAN;MORN2;RGS1;CHRNA3;CCR4;BIN1;
Pneumonia	HLA-DRB1;C6orf10;CD276;ITGA9;FAM155A;SERPINH1;MGST3;DLG2;SLIT3;DSC3;BTNL2;FADS3;GTF2E2;CHRNA3;TNFRSF10A;TYK2;IREB2;INSR;HLA-DRA;PANK1;
Hyperlipidemias	CELSR2;APOB;LDLR;ZNF259;SIK3;ABO;KDM4C;CDC42BPB;NFAT5;C6orf57;FAM162B;PKD2L1;SLC22A1;PAFAH1B2;HLA-B;NOTCH4;DOCK3;BUD13;HELQ;ESR1;BAT1;IL26;ST3GAL4;GRB14;NBPF3;BAG6;MSH5;RIT2;TNFRSF19;C6orf103;BAI3;TSHR;FAM135B;PVRL2;NOV;PTBP2;SLC30A8;SOX17;HHEX;PADI4;NCAPD3;TP63;MYP11;RTF1;SLCO3A1;ATG16L1;CDH4;EIF6;UNC119B;IKZF2;TRAF3IP1;CCDC63;C10orf67;ABCG8;TNXB;TNFSF15;CSMD1;ULBP1;
Major Depressive Disorder	RYR2;DENND2A;CYP2C9;DBC1;TNFSF13;CETP;SIK3;ADARB2;FARP2;HLA-C;ICOSLG;ZBTB46;SLC22A11;RIMS1;CTBP2;LRRC32;MPP7;TMC2;MTAP;PDGFD;PECR;C6orf170;NAA25;ELMO1;CDC42BPB;ZBTB12;
Hodgkin Disease	ATP13A2;PAPL;NPPC;TFEB;PVT1;HNF1A;MGC34034;SLC22A3;AMIGO2;ZBTB38;MBOAT1;SGCG;C14orf181;HLA-C;
Leukemia	CYP26A1;PDE3A;SEZ6L2;RTEL1;HUNK;ALS2CR12;GRAMD1B;ACOXL;RIT2;CNTN4;GTF2E2;POLR2A;IL2RA;BUD13;HLA-DOA;FARP1;CABLES1;VGLL3;
Pityriasis	BDNF-AS;GNA15;MCTP2;RAD51B;FARP1;LARP6;SPRY2;CLPTM1L;DYRK1A;SFPQ;VPS26A;TACC3;CPVL;PLXNA1;SEMA6A;FUT8;TRIB3;NCF4;
Endometrial Hyperplasia	CFH;SOX17;CLU;CHL1;MACROD2;LOXL1;DNM3;AR;THADA;DOCK2;MUC7;LRP1;PRB2;LINGO1;MFHAS1;CDKAL1;CRHR1;RARB;ZMIZ1;HELQ;
Cholecystitis	BAI3;EPHA10;BLK;LHFPL3;ITLN1;IFIH1;SGCD;PCSK5;SUPT3H;PTPRG;RREB1;PARD3;LMTK2;LHCGR;PLA2G6;FOXO3;ZIC1;ADAM18;CCDC26;CHRNA3;BIK;TFF1;C10orf122;LINC00340;GALNT3;C6orf103;DCC;MMP3;PVRL2;CLPTM1L;
Paraproteinemias	CDKN2B-AS1;SULF1;TYR;CMIP;GIPR;DDAH1;RAB38;TNPO3;C20orf196;PLEKHA1;LOC285696;IL12B;HUNK;DOCK2;ATG16L1;ERAP1;NEURL;CSK;
Tongue Diseases	GLIS3;BST1;S100A5;CCDC26;PLEK;IL6R;CD58;ERC2;ACADL;HLA-DQA2;DLEU7;TNFSF13;FCER1A;ETV6;TCL6;PRKCZ;TRAF1;HLA-DPB2;CD180;IL23R;BMP6;PDZRN4;SAFB2;LARP6;THADA;CFI;
Barrett Esophagus	CYP2C9;NOTCH4;SLC39A8;TCF4;SIN3A;PARD3B;SLC6A1;MC1R;IGF2BP2;TNFAIP2;WFS1;ZP4;DGKH;GLTSCR1;MAD2L1;LOXL1;NOD2;ANKS1A;AIM1;AAK1;GP1BA;GATA3;DBNDD1;LAMB1;AKAP6;EFEMP1;NOG;DCAF12;IGF2;PLCL1;NDFIP1;CASQ2;PRRX2;
Wandering Spleen	CLEC16A;LHFPL3;NCAM1;DIRAS2;HOMER1;ESR1;BTD;GRB10;KLHDC8B;ADAMTS9;CDKN2B;RXRG;UMOD;TSHR;DOK2;CDKN2B-AS1;
"Arthropathy, Neurogenic"	NXPH2;BUD13;SIK3;MAF;ABO;PAFAH1B2;ZBP1;CACNA1S;PTPRG;RELN;PCSK5;TNFRSF11A;C10orf67;
Glossitis	CACNA1C;PRKD2;SLCO3A1;B4GALT6;ADARB2;WFS1;RORA;MANBA;CKAP5;BIN2;ADIPOR2;SYT17;DCDC5;SLCO1B1;GPC5;TBC1D4;SDK1;SMOC2;CAV1;
Sexually Transmitted Diseases	MYO1D;TYK2;NLGN1;SH3BP5;NCAPD3;CLPTM1L;
Shock	TMEM38B;TMEM18;FTO;UNC13B;HLA-DRB1;CHL1;ZNF706;SH3GL2;ME2;C6orf10;TNFSF13;BTNL2;MITF;ATP1B1;KCNQ1;PRKAG2;SALL1;CEP152;CAMSAP1L1;ESR1;ZNF365;OPA3;CFH;MGAT1;KRT18P32;ACOXL;CREB5;CYP2C9;
Gastroparesis	IRF2BPL;SCAMP3;RNASET2;NXPH2;ARHGAP24;HLA-DQB1;POU2F1;HLA-DRB1;PRPH;SLC6A13;AGXT2;IL11;PTGFR;SF1;BMP4;PAPL;PSORS1C1;PTPRK;DEPDC5;FGFR1OP;DLEU7;KIAA0090;UQCC;VGLL3;MTCH2;PLCB1;
Hallucinations	BUD13;PI16;GABRB3;NOS1AP;TMEM57;DARC;TMEM50A;MTMR4;ESR1;MPPED2;IGF2R;GPC5;AGPAT3;LAMB1;DACH1;TNFSF15;CD53;C1orf63;ME2;TGM5;FAT4;RNF44;ACE;PHLDB1;HIP1;
Stillbirth	CYP1A2;CSK;MTNR1B;TBX5;BRSK1;GARNL3;THADA;PDGFD;LAMA5;SPTLC3;KIAA1217;AK3;IL12B;HLA-DRB1;CAMKK1;UBE2D1;OSBPL10;UMOD;C13orf31;POU3F2;
Optic Nerve Diseases	DYSF;CSF2RB;KIRREL3;CD247;WDR65;CRYGC;CBS;CCL21;GIPR;MERTK;EDA;TM7SF4;PKNOX2;HBBP1;ATOH7;DOCK7;ATXN1;CHD1L;VPS26A;PTPRG;HNF4A;PRKD2;
Absent breasts and nipples	NLRP3;AFAP1L2;DEPDC5;TNRC6B;PHGDH;ARHGAP22;GCKR;SLC30A7;SH3GL2;TNPO3;IGF2;SOCS6;PDGFRA;LARP6;IMMP2L;RPS6KB1;
Hyponatremia	ARID5B;TIMP2;EPHA1;PROX2;FAM110B;ZPLD1;HCCS;C20orf194;C6orf183;DSG1;GCK;WWOX;PHACTR1;USP40;SLC14A2;ERCC4;CYP4F2;NOTCH4;FARP2;TSEN15;FAM174B;
Atrial Fibrillation	MICB;IL18R1;HLA-DQB1;ZFP36L1;BAK1;C6orf97;LDLR;PTPRG;NEGR1;AGER;OSBPL1A;ST3GAL4;KCNN3;C14orf181;LOC100132354;SCN10A;POLR3G;ADK;CDRT4;SLC4A7;SELP;HCG9;SP8;FOXE1;LOC100289473;TP63;SLC9A9;FOXO6;SLC44A4;NFE2;CYP1A1;CDKN2B-AS1;
Mental Disorders	TOMM40;CCL4L2;ATP13A2;HLA-B;FOXO3;GSTCD;CYP2C19;RASGRF1;PSORS1C1;ADRA2A;EYA1;DLEU7;GIT2;CCHCR1;LRP1B;ICOSLG;PPM1E;SH3GL3;MICA;IKZF1;ABCA1;SLC30A7;KATNAL2;ARL6;NEK6;BUD13;CCT7P2;HLA-C;ZMIZ1;VWA5A;ERCC4;C1orf63;ITGAM;FHIT;LRRC32;PML;PDE3A;C1QTNF6;MCPH1;HORMAD2;IL11;GRIK4;NOS1AP;RELN;CYP2C18;HLA-DPB2;ACBD4;TMEM50A;ZBTB46;ITIH1;C6orf48;
Gestational Diabetes Insipidus	TNFRSF11A;ZNF248;BICD1;PAQR4;TNFAIP3;L3MBTL4;CRP;FTO;NOS1AP;CACNA1S;SLC8A3;
"Cardiomyopathy, Dilated"	STAT6;KCNC4;PRKAG2;MTAP;GNG4;ELMO1;THRB;ZPLD1;MCF2L;MTHFD1;C14orf102;CDKN1A;FTO;PVT1;DYRK1A;BAG3;RGS14;PBX1;MAPT;CUBN;NCALD;PPP2R2B;MRPS30;SLCO1B1;DSC3;
Spinal Cord Diseases	BTNL2;CDK10;C15orf32;GRAMD1B;ZNF746;EFCAB4B;ANK3;CMIP;FOXO1;METTL1;CLVS1;PLAG1;
Heart Failure	BCR;C14orf181;TMTC2;LDLR;GTF2E2;CCND2;HMGA2;PDS5B;ZDHHC19;GATA3;TIMP2;C6orf97;FSHR;NRGN;ESR1;ZFP36L1;PRKCA;ISM1;FLJ32955;SPATA7;ZNF385D;MGAT1;LOC391642;MCCC1;SHROOM3;ZPBP;IBSP;LEF1;THRB;KCNQ1;POLR3G;TNXB;MITF;CD86;TMEM196;RORA;LMO4;NRXN3;PRKCZ;
Temporomandibular Joint Disorders	LRP1;NFKB1;BMP4;LOC133789;ITIH1;PBRM1;ESR1;MANBA;STAT6;LDLR;PC;FLJ41733;C11orf49;PLAG1;GMDS;EHHADH;MYT1L;LCE3E;RYR2;TF;TNFSF11;ATM;MLANA;IL2RA;PCNX;CCDC60;HDAC11;MEF2C;RBFOX1;ZMIZ1;PKDCC;CYP2C9;PTPRG;UBE2Q2;TTC28;SELP;
Kyphosis	STAT2;CTLA4;ZMIZ1;ADCY9;SCN5A;CORO2B;PRKAR2B;GRB14;TNIP1;DOCK2;ZFAND3;BLK;CAPZB;CD180;ZBTB38;PBX2;SLCO3A1;PLAG1;FARP2;CDKN1A;CKAP5;SPATA7;
Cerebrospinal Fluid Otorrhea	NEURL;C6orf204;LOC100505844;CDKAL1;ZNF157;HMG20A;CHL1;PSD3;LOC100287944;SEL1L3;ZNF365;CDCA7L;GORASP2;THADA;WDFY4;PTPRD;GRM7;SYT17;BACH2;GRM8;DIS3L2;FDFT1;TAB1;DMRT1;NOV;
Tension-Type Headache	LARP6;CDKAL1;UBASH3A;MLPH;KCNE4;TRPS1;FCRL3;EXTL2;TBX3;WNT11;SCAMP3;FAM49B;TMTC2;UGT1A10;PBLD;PRKAG2;CAAP1;CYP20A1;MAL2;PSCA;
Prurigo	ANXA9;NDFIP1;HLA-A;ACCN1;C6orf97;KSR2;COL13A1;HNF4A;CHRNB4;ETV6;GDAP1;TSEN15;DBC1;SOX5;H2AFY;IL12A;LUZP2;CCND3;CAST;SLC39A11;HCG9;GLT25D2;EXOC4;IL1RAP;ITLN1;CBS;COL4A1;EDIL3;MIR622;NCF4;KCNT2;HLA-DRA;
Corneal Opacity	PKN2;PRDM15;SIX1;LRRC16A;RAP1GDS1;ZPBP;JUN;UQCC;HMGA2;MAFB;KRT18P32;SNRPN;HLA-DPB2;C5orf56;GGT1;LIPC;SLC34A1;G6PC2;ATL1;
Somatoform Disorders	PLEK;PAPD7;TF;IL6R;PRKCE;DNAJC15;CETP;CYP19A1;MRAS;CTNNA2;TACC3;UCK2;LOC643308;SOCS2;TBC1D30;CSF2RB;ZFP64;WDR1;CPAMD8;MPPED2;ZNF93;TNFAIP3;ITPR3;NRG3;ADAMTS9;CHRDL1;
Dermatomycoses	DOCK3;PC;ANKRD6;IL11;TBC1D4;MPPED2;LRP1;SH3GL2;LRIG1;NAV2;NOS2;OR4A15;CAPSL;SIN3A;ETS1;BTBD1;IL13;TNFSF14;EPC2;TF;
"Goiter, Multinodular "	FGF7;FOXE1;CD247;RREB1;C19orf62;CLEC16A;CAPZB;FGF12;FTO;KIRREL3;HMGA1;HLA-DQB1;POP1;NT5C1A;PTPRD;CDC42BPB;GDA;LSM1;HK1;SLC24A4;ESR1;PCSK5;ADIPOQ;THADA;DLEU7;HTR4;MCCC1;RAD51B;PAX5;PECAM1;JARID2;CDH12;RYR2;KCNH2;LEKR1;TTR;PDE4D;LRRC16A;
"Anemia, Pernicious"	DUSP10;FOXE1;UNC13C;RAD21L1;OR4A15;IKZF3;IL12A;EMBP1;GSDMB;PTPN2;GSDMA;SLC12A9;SFPQ;PTBP2;LOC100289058;NCR2;ZNF385D;C10orf11;
Proteinuria	SOX4;JAG1;OPTN;SPTLC3;LSP1;C6orf15;TMEM132C;PEX14;EDA;C6orf10;PRKG2;ITGA1;PARD3;BANP;KIDINS220;PICALM;CYP2C9;TNFRSF21;SLC2A13;NAB1;KCNJ12;FGF12;APOL1;
Cholelithiasis	ABCG8;MLPH;ABCG5;PLA2G6;FGFR1OP;CTLA4;MXI1;CNNM2;RAPGEF5;MEG3;ARHGAP22;ANXA9;CCNE1;UNC5C;ZNF385D;NOG;TTLL7;SLC28A1;PTPRD;CSNK1G3;ITLN1;PARD3;PBX1;MAF;LIPA;
Hammer Toe Syndrome	HTR4;PKD2L1;ANK3;SLCO1A2;FRAS1;USP25;TSHZ2;USP44;PPP3CA;IKZF3;DACH1;RFTN1;KCNQ1;TNFSF14;PLXNA1;GSDMB;THRB;REL;USP46;THSD7B;FOXQ1;ATG16L1;TRAF1;SDK2;SUSD1;IL23R;TYR;ANXA13;
Conjunctival Diseases	STXBP6;RBPMS;ATM;ADRB1;ANKFN1;CRHR1;ALPK1;IFI16;HLA-DQB1;SLC12A9;C6orf191;HOXC13;ADCY9;CYP2C9;VSTM2B;PRNP;HLA-DOA;SLC17A1;
Hydronephrosis	HLA-A;WWOX;TBX3;MUC22;ADARB1;RGS6;NAB1;SUMF1;PPP2R2B;HLA-F-AS1;SELL;NCAM1;CSNK1G3;CCHCR1;MXI1;EPS15;PSORS1C1;ITPR3;BTNL2;STXBP6;ARHGEF3;PAPL;CEP250;API5;ATM;AR;VCX3B;ZFP36L1;
Tachycardia	DCDC5;ARHGAP22;SALL4;SIAE;SLC6A1;KLHL13;STXBP6;UNC13A;CCL21;FSHR;APOB;BLK;DOCK7;
"Prader-Willi habitus, osteopenia, and camptodactyly"	RTEL1;IRF4;EXOC2;ZGPAT;MX2;CPEB1;LIPA;KCNMA1;MRPS30;PVT1;KIRREL3;SLCO3A1;DOK2;ARHGAP31;TTN;GCKR;HMGCR;DPEP2;DPEP3;CDK4;ASAP2;FAM110C;ATP2A2;RAB4B;PROX2;CACNA1C;ZNF433;MSH5;ANKLE1;IRF2BPL;POPDC3;
Iatrogenic Disease	ZNF746;PUS10;KCNH2;VCAN;LINGO2;NCKAP5;PZP;CASZ1;ITGAM;FGF7;FAM131C;CD276;IGF2BP1;BLK;APOL1;ITPR3;CHL1;FAM110C;WDR7;MINPP1;ATP2A2;CAV1;HLA-DPB2;FUT8;CCDC46;LASS6;IDS;PRDM16;RFTN1;PDZRN4;CCDC60;THADA;RELN;LIN28B;SLC35F1;SLC24A2;IGF2R;SLC45A2;SOX17;FAM13A;IL12RB2;SLC12A9;
Myocardial Infarction	CDKN2B-AS1;PHACTR1;SH2B3;ATXN2;CDKN2B;IL2RA;PBRM1;HNF1A;HK1;ITLN1;RAD50;ZFP90;NRGN;DNAH11;PAPL;WTAP;ITIH1;ATP2B1;RGS1;TMEM38B;CLSTN2;PTPRD;GRIN2B;C1orf125;HNF1B;BRAP;GABRB3;C1GALT1;MYP11;C6orf103;MTAP;PCSK5;GSTCD;
Respiratory System Abnormalities	TOMM40;PCSK2;UNC5C;MRPS30;MMP24;KCNQ1;FGF12;CCDC38;PRKG1;HLA-DRA;LOC133789;MXI1;HELQ;POLR1D;C10orf67;LASS4;GABRR1;WLS;TMCC2;DENND1A;MRC1;DUSP10;MEPE;ARHGEF3;DRD2;RIN2;DISC1;GCK;SUMF1;BTNL2;CDH1;POU5F1;CDK6;
Tonsillitis	ARL15;CDRT4;SH3BP5;ZMIZ1;RERE;ERAP1;NOTCH4;CHRNA3;SEC16B;IRS1;DNAH11;BMP4;PLTP;SLC15A4;PBX2;TFEB;PALB2;SLC25A43;POLR3G;GRB14;AGPHD1;IRX4;CRTC1;GPR126;CLSTN2;HIST1H3B;H2AFY;ESR1;
Contracture	EPS15;GOSR2;ADIPOQ;MAD2L1;ABCG8;C12orf28;PLXNA1;TMTC2;DGKH;BAIAP2L1;CSMD1;ADARB1;SUCLG2;PLEKHA1;DUSP10;HRG;USP46;GPC5;CPAMD8;ATP8B1;KCNQ1;RPS11;
Duodenitis	SLC22A1;CCDC64;COL1A2;TSHR;ZBTB40;PTPRD;PADI6;CHD1L;FCGR2A;HUNK;MERTK;CSMD1;SLC24A4;PCDH9;HLA-C;SLC12A2;NR3C2;UBE2D1;CYP19A1;
Lyme Disease	ARHGAP26;FOXO3;COL1A2;VAV2;DDAH1;GRB14;PSMG1;ARHGAP10;FOXL1;CUBN;MKL1;FSHR;HNF4A;MICB;TNFSF11;
Memory Disorders	TOMM40;MTAP;SF1;NXPH2;PPM1E;PSORS1C1;IL11;PLCB1;TMEM56-RWDD3;RPSAP52;TAB1;PVRL2;TMED10;SCARB1;TCL1A;SOX17;MARC1;MC4R;DYRK1A;CCHCR1;FOXO3;
Diverticulitis	STAB2;BOK;PRC1;HHIP;CRP;RPSAP52;RYR2;MACROD2;OR4A15;RORA;SNTB1;IVD;LDLR;IL10;BEST1;ZNF492;PCSK5;CAPZB;DGKH;MICB;SDK2;EHHADH;RNF213;DAB2IP;MC4R;SLC17A1;CAMSAP1L1;BNC2;
Bipolar Disorder	GHSR;REL;C11orf10;SLC24A2;TBX3;FADS1;SF1;FADS2;ZNF365;SP7;WDFY4;SATB2;AP3S2;CDH13;SLC7A9;HMGA2;UNC13C;MX2;CHRNB4;NKX2-6;HS6ST3;C6orf170;ULBP1;C15orf32;
Uterine Prolapse	KNG1;CACNA1C;LPHN1;MGAT1;GABRR1;PARK2;MRPS22;NME7;HUNK;TMC2;PRDM15;SAE1;C6orf48;TNIP1;NAV2;PDS5B;CHRNA3;MANBA;AGPHD1;SVEP1;POP1;NCAPD3;LOC100505844;C6orf10;SP7;CCT7P2;DBNDD1;ZNF157;LPL;MARCH8;RAB38;DAPK1;IL13;HLA-DRB1;ADAMTS12;HLA-E;SLC30A7;
Fasciitis	BAI3;PKNOX1;METTL1;FAM162B;DUT;FLG;PALMD;STAT6;ZBTB12;IRF8;DOCK6;PDE4D;TUSC1;DGKH;ANK3;LCORL;FGFR1OP;CCR6;COL4A2;NFAT5;RNF186;IL17REL;TMTC2;PRRX2;COL13A1;C5orf36;
Pancytopenia	ITGAM;SLC35F1;ISM1;STX4;VKORC1;SPATS2L;WDR66;RAPGEF5;IL26;CPEB1;SF3B4;KCNB2;TAB1;ERCC4;NFE2L3;SHROOM3;EML6;CDKN2B-AS1;SULF1;DACH1;ZNF544;DUSP10;SCFD2;FAM174B;
Hearing Loss	HLA-DQB1;NOS1AP;PDGFD;TNXB;RYR2;C5orf36;MYO1D;APOB;SOX5;HLA-DRB1;LMX1B;ANK3;FOXL1;SLC44A4;SHISA9;MAL2;RBMS3;TNFRSF1A;RASGRP4;ABCG2;HLA-DQB2;MEX3B;VGLL3;BAT2;MAF;TNFSF14;AGER;SLC2A13;KATNAL2;RFC3;AIRE;NLRP11;
"Hernia, Femoral"	RAB3GAP1;TRIB3;SLC14A2;ACE;TRIM10;LRRC16A;CD276;TERT;DOK2;RFTN1;LDLR;SLC2A9;KIDINS220;MFHAS1;BUD13;SEC14L1;NKX2-6;HHIPL1;ANGPTL6;PCDP1;
Testicular Hydrocele	PKDCC;CDH2;HLA-DRA;NEIL3;PRKCZ;C19orf62;TRPM6;RFTN1;IKZF3;IL11;MLANA;SNX16;AKAP6;IL7R;SOX4;CD226;COG5;AHRR;MCM8;
"Diabetes Mellitus, Type 6"	HLA-DQB1;NFKBIZ;TCF7L2;BAT2;BAG6;TNXB;MSH5;ITLN1;SLC22A1;NOTCH4;NCR3;PHEX;STAT6;RBMS1;ST8SIA1;HLA-DRA;CDKAL1;IL25;BAT1;TNFAIP3;LMTK2;HHEX;PARD6B;NKAIN2;GPR124;PUS10;ADCY9;DLG2;CDKN2B-AS1;CDC42BPB;IRF2BPL;FOXO3;TAB1;NSF;SLC15A2;RBFOX1;TSEN2;RAD51B;GIT2;KIAA1109;RSPH6A;CLSTN2;WDR72;PSMB8;PROX1;ATXN1;IRS1;ICAM1;ATP8B1;LRP5;PLEKHM1;RIMS1;GHSR;VAV2;HDAC11;LPHN1;NAV3;HNF1A;C12orf28;G6PC2;CRHR1;NRG3;SEC16B;LMO1;
Upper Extremity Deep Vein Thrombosis	LEPR;QKI;CYP2C9;WDR41;TCF7L2;AP3S2;NKX3-1;WNT3;SALL4;CRHR1;RAPGEF5;ZNF101;LINC00340;DARC;CHRNA3;NSF;DRD2;TGM5;MAPT;SLCO1C1;DNM3;PARD3;REST;RAB3GAP1;TGFA;TNFSF13;
Incisional Hernia	IL2RA;ASB1;TRAF3IP1;ADH1C;AHI1;PLG;SLC26A9;SLC24A4;HCCS;BTBD9;RBMS1;PLEK;MANBA;BAG3;HBBP1;IRS1;CCHCR1;
Scoliosis	MICB;COG5;CCND2;COL4A2;FHDC1;GAK;HMG20A;PRKAR2B;PRPSAP2;DGKQ;MERTK;ULK4;DIP2C;KIAA1462;PTPRD;PRRX2;SH3GL2;DENND1A;MS4A4A;MTHFD1L;FOXE1;
Abdominal pain	EXTL2P1;OPA3;FAM155A;DGKH;ST3GAL4;CNTN4;PANK1;RAB37;MYP11;RGS1;MXI1;CYP2C9;GRB14;SUSD1;ITPR3;ADAMTS14;C5orf56;UCK2;CYP19A1;FRMD4A;MYNN;NCAPD3;GGT1;
"Lupus Erythematosus, Systemic"	KCNJ11;IMPA2;BTNL2;BAG6;HLA-DQB2;TNFSF11;HLA-DQB1;MSH5;UCK2;ZNRD1-AS1;HLA-DQA2;BAT1;FHIT;RAB3GAP1;CDH6;ZNRD1;HLA-DRA;SOX5;FAM91A1;HUNK;IL10;NOTCH4;HLA-F;IRF8;STAT4;F13A1;HLA-B;VSTM2B;EDC4;MYP11;HNF1A;SMOC2;ZFP36L1;SLIT2;ME2;
Diabetes mellitus	TCF7L2;CFH;IRS1;JAZF1;IL1RAP;FTO;CDKAL1;SLC30A8;PROX1;MTNR1B;HHEX;ABCA1;HLA-DRB1;PABPC4;IL17REL;LYPLAL1;HLA-DRA;ZNF385D;DUSP9;NFAT5;API5;C2CD4B;SEC14L1;HNF1A;C6orf97;CRP;OR9G1;SLC9A9;RASGRP1;PARD3B;PRC1;NKX3-1;STIM2;TOMM40;HLA-DPB1;IL18R1;OR5H2;DNAH5;HLA-DQB1;PRKCZ;GCKR;ADH7;CHRNA3;PDXDC1;UGT1A10;POU4F1-AS1;
Iron-Refractory Iron Deficiency Anemia	ADAM18;SELL;TMPRSS6;GRM8;KCNH8;C1QTNF7;CYP20A1;NFKBIZ;CDK4;SLCO1C1;TIPARP;ARPP21;MAFB;HFE;IMMP2L;UNC13C;CPVL;ATXN2L;CRTC1;TNPO3;CRYGC;NFIA;ESR1;CACNB3;CHD1L;HIST1H2BJ;IL6R;THSD7B;MITF;KIFAP3;PLAG1;CPAMD8;RAD51B;STAT4;KATNAL2;C17orf62;EYA4;NFATC4;PSORS1C1;FBN2;SCGN;TSHZ3;UGT1A1;REV3L;SLC12A7;SIAE;HERC2;IRF2BPL;UGT1A10;MLANA;DKK1;ARL6;CMKLR1;UBE2D1;TNFAIP3;IL27;PDE4B;HLA-B;
Hypertension	DOCK3;ZFHX3;MIR137;ETS1;C6orf97;MARC1;ADK;GLG1;MSRA;PTPRK;SCGN;NRGN;LRP2;FOXO6;KIAA1217;IL7R;PARD3;ABCB11;NCOR2;BAI3;SLC45A2;FTO;ATXN2;DYRK1A;ZBTB46;CENPW;SVEP1;UBXN4;TNFSF11;SERPINH1;SRPRB;DCC;SH2B3;
"Acromegaloid features, overgrowth, cleft palate, and hernia"	IRS1;GATA3;SH3GL3;TMEM79;PARD6B;NOTCH4;COL25A1;DSC3;NUMB;EFEMP1;CYP4F2;MPV17L2;L3MBTL3;EXOC4;CAMK4;TRPS1;LMX1B;SALL3;HLA-B;SEC16B;PUS10;SPON1;HLA-DQA2;PLEKHM1;MUC22;TYK2;YDJC;HLA-DRB1;PRRX2;PDGFRA;
Alopecia	CADM2;WDR7;CHL1;TBX5;PLCB2;LMO4;ZBTB38;CD33;MCM8;SF1;KCNQ1;CYP17A1;TF;TTR;WDR12;STARD13;GCK;RGS14;NXPH2;KCNC4;
Hepatomegaly	PECR;CACNB3;SHC4;CAV1;NRG3;PTPRG;EVC;ST6GALNAC3;EOMES;CYP20A1;MYH6;EPC2;ZBTB46;FAM5C;LPA;APOB;NTM;CD69;SELP;
